"636"	""	""	"0"
"5"	"Franklin Park Pub Sch Dist 84"	"Franklin Park Public School District 84"	"0"
"12"	"W St Paul-mendota-eagan SD 197"	"W Saint Paul-mendota-eagan School District 197"	"0"
"3"	"Rsu 53/Sad 53"	"Rsu 53/Sad 53"	"0"
"34"	"Paradise Valley Unif SD 69"	"Paradise Valley Unified School District 69"	"0"
"4"	"Bloomfield School District"	"Bloomfield School District"	"1"
"8"	"Oregon School District"	"Oregon School District"	"1"
"1"	"Boone Cmty School District"	"Boone Community School District"	"1"
"1"	"Ridgewood Village Sch Dist"	"Ridgewood Village School District"	"1"
"3"	"Aledo Ind School District"	"Aledo Independent School District"	"1"
"2"	"Centerville-abington Cmty SD"	"Centerville-abington Community School District"	"0"
"3"	"Orangeville Cmty Unit SD 203"	"Orangeville Community Unit School District 203"	"1"
"1"	"Greenburgh-graham Ufsd"	"Greenburgh-graham Ufsd"	"0"
"7"	"Benton Cmty School District"	"Benton Community School District"	"1"
"1"	"Erick School District 51"	"Erick School District 51"	"0"
"1"	"Hammondsport Ctl School Dist"	"Hammondsport Central School District"	"1"
"75"	"Roseburg School District 4"	"Roseburg School District 4"	"1"
"3"	"Northland Pines Sch District"	"Northland Pines School District"	"1"
"8"	"Eldon R1 School District"	"Eldon R1 School District"	"0"
"1"	"Kiefer School District 18"	"Kiefer School District 18"	"0"
"3"	"Aguila School District 63"	"Aguila School District 63"	"0"
"43"	"Pomona Unified School District"	"Pomona Unified School District"	"1"
"2"	"Boylston School District"	"Boylston School District"	"0"
"20"	"Lawrence Unified Sch Dist 497"	"Lawrence Unified School District 497"	"1"
"223"	"Evansville-vanderburgh Co SD"	"Evansville-vanderburgh County School District"	"0"
"96"	"Morgan Hill Unified Sch Dist"	"Morgan Hill Unified School District"	"1"
"4"	"Moniteau School District"	"Moniteau School District"	"1"
"1"	"Red Hook Central School Dist"	"Red Hook Central School District"	"1"
"11"	"Penncrest School District"	"Penncrest School District"	"1"
